technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.06365685737386793,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",20,1004,0.0,LLVM,random,2,Prop0.02,1,True
kNN,0.05622966928017656,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",20,1004,0.01,LLVM,random,2,Prop0.02,1,True
KRR,0.034883668982039616,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",20,1004,0.01,LLVM,random,2,Prop0.02,1,True
MR,0.04378874091338675,"{""lasso__regressor__alpha"": 0.001}",20,1004,0.01,LLVM,random,2,Prop0.02,1,True
RF,0.051377423486394846,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",20,1004,0.03,LLVM,random,2,Prop0.02,1,True
SVR,0.050160228606105965,"{""regressor__tol"": 0.3, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 0.0, ""regressor__C"": 5.0}",20,1004,0.0,LLVM,random,2,Prop0.02,1,True
CART,0.03318689315560135,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",20,1004,0.0,LLVM,random,2,Prop0.02,2,True
kNN,0.04738790081684657,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",20,1004,0.01,LLVM,random,2,Prop0.02,2,True
KRR,0.03597552452902363,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",20,1004,0.01,LLVM,random,2,Prop0.02,2,True
MR,0.04481125523053637,"{""lasso__regressor__alpha"": 0.001}",20,1004,0.01,LLVM,random,2,Prop0.02,2,True
RF,0.03849838300748713,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",20,1004,0.03,LLVM,random,2,Prop0.02,2,True
SVR,0.039234312984765554,"{""regressor__tol"": 0.3, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 0.0, ""regressor__C"": 5.0}",20,1004,0.0,LLVM,random,2,Prop0.02,2,True
CART,0.0362950506756433,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",20,1004,0.0,LLVM,random,2,Prop0.02,3,True
kNN,0.043659896721432855,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",20,1004,0.0,LLVM,random,2,Prop0.02,3,True
KRR,0.04265310663005904,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",20,1004,0.01,LLVM,random,2,Prop0.02,3,True
MR,0.038730348774544135,"{""lasso__regressor__alpha"": 0.001}",20,1004,0.02,LLVM,random,2,Prop0.02,3,True
RF,0.0317878670629197,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",20,1004,0.03,LLVM,random,2,Prop0.02,3,True
SVR,0.03571231649454665,"{""regressor__tol"": 0.3, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 0.0, ""regressor__C"": 5.0}",20,1004,0.0,LLVM,random,2,Prop0.02,3,True
CART,0.03553435326662757,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",20,1004,0.0,LLVM,random,2,Prop0.02,4,True
kNN,0.04846205740384951,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",20,1004,0.0,LLVM,random,2,Prop0.02,4,True
KRR,0.03680159055170439,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",20,1004,0.01,LLVM,random,2,Prop0.02,4,True
MR,0.04250619281086346,"{""lasso__regressor__alpha"": 0.001}",20,1004,0.01,LLVM,random,2,Prop0.02,4,True
