technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.3714475558014677,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.02,Polly,rsbs,1,T1,1,True
kNN,0.2996114029469179,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.07,Polly,rsbs,1,T1,1,True
KRR,0.286072274281594,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.05,Polly,rsbs,1,T1,1,True
MR,0.2920969571446301,"{""lasso__regressor__alpha"": 0.1}",5,59995,1.02,Polly,rsbs,1,T1,1,True
RF,0.3039787269963881,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,59995,0.06,Polly,rsbs,1,T1,1,True
SVR,0.30317445934980525,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,59995,0.04,Polly,rsbs,1,T1,1,True
CART,0.30355133570970416,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.01,Polly,rsbs,1,T1,2,True
kNN,0.30461739063334436,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.07,Polly,rsbs,1,T1,2,True
KRR,0.3047648816349335,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.04,Polly,rsbs,1,T1,2,True
MR,0.30915041600937737,"{""lasso__regressor__alpha"": 0.1}",5,59995,1.01,Polly,rsbs,1,T1,2,True
RF,0.30470275315206613,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,59995,0.06,Polly,rsbs,1,T1,2,True
SVR,0.30280892828574224,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,59995,0.07,Polly,rsbs,1,T1,2,True
CART,0.3639206248193073,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.01,Polly,rsbs,1,T1,3,True
kNN,0.3010593255779993,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.07,Polly,rsbs,1,T1,3,True
KRR,0.3022464235775801,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.04,Polly,rsbs,1,T1,3,True
MR,0.28909335518125756,"{""lasso__regressor__alpha"": 0.1}",5,59995,1.05,Polly,rsbs,1,T1,3,True
RF,0.299793894152532,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,59995,0.05,Polly,rsbs,1,T1,3,True
