technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.708408453270985,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.02,7z,rsbs,1,T1,1,True
kNN,1.35432604249366,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,rsbs,1,T1,1,True
KRR,1.2873145116618063,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.08,7z,rsbs,1,T1,1,True
MR,1.4458008061039795,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.21,7z,rsbs,1,T1,1,True
RF,1.1621180196902854,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,rsbs,1,T1,1,True
SVR,0.9004522359256465,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",13,68627,0.14,7z,rsbs,1,T1,1,True
CART,1.8384134041030809,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.02,7z,rsbs,1,T1,2,True
kNN,1.8706958221731493,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,rsbs,1,T1,2,True
KRR,1.5905574402520641,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.07,7z,rsbs,1,T1,2,True
MR,1.9889104252983734,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.21,7z,rsbs,1,T1,2,True
RF,1.9996162463872889,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,rsbs,1,T1,2,True
SVR,2.3106917239616696,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",13,68627,0.15,7z,rsbs,1,T1,2,True
CART,2.352314802299019,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.01,7z,rsbs,1,T1,3,True
kNN,2.618881445067584,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,rsbs,1,T1,3,True
KRR,2.3399226682130627,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.06,7z,rsbs,1,T1,3,True
MR,2.7945288897246807,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.19,7z,rsbs,1,T1,3,True
RF,3.1283047198777445,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,rsbs,1,T1,3,True
SVR,1.962892942363079,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",13,68627,0.12,7z,rsbs,1,T1,3,True
CART,1.6197072093044043,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.01,7z,rsbs,1,T1,4,True
kNN,1.4091927098188506,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,rsbs,1,T1,4,True
KRR,1.136120363211916,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.06,7z,rsbs,1,T1,4,True
MR,1.525885850716118,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.16,7z,rsbs,1,T1,4,True
RF,1.3285705000065358,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,rsbs,1,T1,4,True
