technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.3254464848492753,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.02,Polly,ddbs,1,T1,1,True
kNN,0.34322802597784147,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.07,Polly,ddbs,1,T1,1,True
KRR,0.28553493621035453,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.05,Polly,ddbs,1,T1,1,True
MR,0.17089350048283772,"{""lasso__regressor__alpha"": 0.1}",5,59995,1.07,Polly,ddbs,1,T1,1,True
RF,0.3911147637355098,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,59995,0.06,Polly,ddbs,1,T1,1,True
SVR,0.296794960108527,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,59995,0.07,Polly,ddbs,1,T1,1,True
CART,0.34064130278495475,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.02,Polly,ddbs,1,T1,2,True
kNN,0.31382621275514583,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.07,Polly,ddbs,1,T1,2,True
KRR,0.31427856483648237,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.05,Polly,ddbs,1,T1,2,True
MR,0.31241157598609215,"{""lasso__regressor__alpha"": 0.1}",5,59995,1.05,Polly,ddbs,1,T1,2,True
RF,0.3097085222392864,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,59995,0.06,Polly,ddbs,1,T1,2,True
SVR,0.3099323561329897,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,59995,0.07,Polly,ddbs,1,T1,2,True
CART,0.5360058045592526,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.01,Polly,ddbs,1,T1,3,True
kNN,0.3564301717735283,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.06,Polly,ddbs,1,T1,3,True
KRR,0.3016489792852167,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.04,Polly,ddbs,1,T1,3,True
MR,0.32700170548388113,"{""lasso__regressor__alpha"": 0.1}",5,59995,0.99,Polly,ddbs,1,T1,3,True
RF,0.34758061321798633,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,59995,0.06,Polly,ddbs,1,T1,3,True
SVR,0.3208918953517858,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,59995,0.06,Polly,ddbs,1,T1,3,True
CART,0.3280240245536374,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.01,Polly,ddbs,1,T1,4,True
kNN,0.2978292290054662,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.07,Polly,ddbs,1,T1,4,True
KRR,0.299627584370101,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.04,Polly,ddbs,1,T1,4,True
MR,0.29165208899378886,"{""lasso__regressor__alpha"": 0.1}",5,59995,0.99,Polly,ddbs,1,T1,4,True
RF,0.3007718345755353,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,59995,0.06,Polly,ddbs,1,T1,4,True
SVR,0.30256999298096837,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,59995,0.06,Polly,ddbs,1,T1,4,True
CART,0.31854834635664997,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.01,Polly,ddbs,1,T1,5,True
kNN,0.2989706621931726,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.07,Polly,ddbs,1,T1,5,True
KRR,0.2967249822243533,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.04,Polly,ddbs,1,T1,5,True
MR,0.3030330313950373,"{""lasso__regressor__alpha"": 0.1}",5,59995,1.04,Polly,ddbs,1,T1,5,True
RF,0.3049700974533612,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,59995,0.06,Polly,ddbs,1,T1,5,True
SVR,0.30193772740141245,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,59995,0.05,Polly,ddbs,1,T1,5,True
CART,0.3122611832472596,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.01,Polly,ddbs,1,T1,6,True
