technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.5602507789973074,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.04,JavaGC,rsbs,1,T1,1,True
kNN,0.6822435347687683,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.27,JavaGC,rsbs,1,T1,1,True
KRR,0.6065575515345696,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.16,JavaGC,rsbs,1,T1,1,True
MR,0.7485643604143003,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.69,JavaGC,rsbs,1,T1,1,True
RF,0.600666155955511,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,rsbs,1,T1,1,True
SVR,0.434958853805338,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.18,JavaGC,rsbs,1,T1,1,True
CART,0.8779479550961403,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,rsbs,1,T1,2,True
kNN,1.022241388052721,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.26,JavaGC,rsbs,1,T1,2,True
KRR,1.120293663822144,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.15,JavaGC,rsbs,1,T1,2,True
MR,1.468155815782956,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.77,JavaGC,rsbs,1,T1,2,True
RF,1.0358230976793827,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,rsbs,1,T1,2,True
SVR,0.6929274675604605,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.18,JavaGC,rsbs,1,T1,2,True
CART,1.0852969775051455,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,rsbs,1,T1,3,True
kNN,0.7409874594923305,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.28,JavaGC,rsbs,1,T1,3,True
KRR,0.7388642980740837,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.17,JavaGC,rsbs,1,T1,3,True
MR,0.4341501054029895,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.9,JavaGC,rsbs,1,T1,3,True
RF,0.7938140656378683,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,rsbs,1,T1,3,True
SVR,0.4995366265854347,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.22,JavaGC,rsbs,1,T1,3,True
CART,0.6130878964579769,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,rsbs,1,T1,4,True
kNN,0.8812741573051792,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.28,JavaGC,rsbs,1,T1,4,True
KRR,0.9209106127101392,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.17,JavaGC,rsbs,1,T1,4,True
MR,0.9259144557272064,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.89,JavaGC,rsbs,1,T1,4,True
RF,0.8209355993921998,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,rsbs,1,T1,4,True
SVR,0.6584650781142837,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.18,JavaGC,rsbs,1,T1,4,True
CART,1.0377119683854594,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,rsbs,1,T1,5,True
kNN,0.999866402414054,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.25,JavaGC,rsbs,1,T1,5,True
KRR,0.9099657884384587,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.13,JavaGC,rsbs,1,T1,5,True
MR,0.835155573856013,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.86,JavaGC,rsbs,1,T1,5,True
RF,0.9225629741119752,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,rsbs,1,T1,5,True
SVR,0.5975660234820687,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.21,JavaGC,rsbs,1,T1,5,True
CART,0.9320612038718729,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,rsbs,1,T1,6,True
kNN,0.8112055300947136,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.25,JavaGC,rsbs,1,T1,6,True
KRR,0.8453160285792546,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.12,JavaGC,rsbs,1,T1,6,True
MR,0.8461547001650718,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.75,JavaGC,rsbs,1,T1,6,True
RF,0.9043903366966262,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,rsbs,1,T1,6,True
SVR,0.5309280122762549,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.18,JavaGC,rsbs,1,T1,6,True
CART,1.3939304644321764,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.04,JavaGC,rsbs,1,T1,7,True
kNN,1.4455440187886384,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.26,JavaGC,rsbs,1,T1,7,True
KRR,1.5649104040489836,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.15,JavaGC,rsbs,1,T1,7,True
MR,1.3031674246347327,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.88,JavaGC,rsbs,1,T1,7,True
RF,1.3282699055657254,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,rsbs,1,T1,7,True
SVR,1.2881484981038822,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.21,JavaGC,rsbs,1,T1,7,True
CART,1.3852476897359451,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,rsbs,1,T1,8,True
kNN,1.0646256436300046,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.25,JavaGC,rsbs,1,T1,8,True
KRR,1.0737662876625853,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.14,JavaGC,rsbs,1,T1,8,True
MR,0.6721568422447359,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.78,JavaGC,rsbs,1,T1,8,True
RF,1.168775985145742,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,rsbs,1,T1,8,True
SVR,0.6954584909326772,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.22,JavaGC,rsbs,1,T1,8,True
CART,0.9151221706099595,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,rsbs,1,T1,9,True
kNN,0.9781618681724388,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.25,JavaGC,rsbs,1,T1,9,True
KRR,0.8997704426481209,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.14,JavaGC,rsbs,1,T1,9,True
MR,0.6133206722335358,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.94,JavaGC,rsbs,1,T1,9,True
RF,0.920101699176963,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.07,JavaGC,rsbs,1,T1,9,True
SVR,0.6649393724080487,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.22,JavaGC,rsbs,1,T1,9,True
CART,0.46918683004659084,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,rsbs,1,T1,10,True
kNN,0.6739952054027339,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.24,JavaGC,rsbs,1,T1,10,True
KRR,0.552001623641338,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.13,JavaGC,rsbs,1,T1,10,True
